Time,u1,u2,u3,u4,u5,u6,u7,u8
5.005,-0.0906954802713277,0.15296574229447493,0.15734291478035592,0.052671888204052886,0.03239141782057962,0.13644306108376938,-0.16528545843092127,0.04648601662995411
10.01,-0.1813909605426554,0.30593148458894986,0.31468582956071184,0.10534377640810577,0.06478283564115923,0.27288612216753877,-0.33057091686184253,0.09297203325990822
15.015,-0.2720864408139831,0.4588972268834247,0.4720287443410678,0.15801566461215866,0.09717425346173884,0.4093291832513081,-0.49585637529276383,0.13945804988986232
20.014999,-0.3627819210853108,0.6118629691778997,0.6293716591214237,0.21068755281621154,0.12956567128231847,0.5457722443350775,-0.6611418337236851,0.18594406651981643
25.014999,-0.4534774013566385,0.7648287114723746,0.7867145739017796,0.26335944102026443,0.16195708910289808,0.6822153054188469,-0.8264272921546063,0.23243008314977054
30.014999,-0.4534774013566385,0.7648287114723746,0.7867145739017796,0.26335944102026443,0.16195708910289808,0.6822153054188469,-0.8264272921546063,0.23243008314977054
35.014999,-0.4755683220668736,0.715649728757868,0.8083440485420599,0.3360188502342058,0.0076196334172522915,0.5749400896678722,-0.5381220440119479,0.3175417859637021
40.014999,-0.4976592427771087,0.6664707460433614,0.8299735231823405,0.4086782594481472,-0.1467178222683935,0.4676648739168975,-0.24981679586928945,0.4026534887776336
45.014999,-0.5197501634873438,0.6172917633288548,0.8516029978226209,0.4813376686620886,-0.3010552779540393,0.36038965816592267,0.038488452273369056,0.4877651915915651
50.014999,-0.5418410841975789,0.5681127806143482,0.8732324724629013,0.5539970778760299,-0.4553927336396851,0.25311444241494796,0.3267937004160275,0.5728768944054966
55.014999,-0.563932004907814,0.5189337978998416,0.8948619471031819,0.6266564870899713,-0.6097301893253309,0.1458392266639732,0.615098948558686,0.6579885972194282
60.014999,-0.51203147652271,0.5913122462435035,0.6691704582849434,0.33078888641706206,-0.5189217731359987,0.24172492372289583,0.6314780326835182,0.344182418471288
65.014999,-0.460130948137606,0.6636906945871657,0.44347896946670495,0.034921285744152764,-0.42811335694666647,0.33761062078181847,0.6478571168083505,0.030376239723147867
70.014999,-0.40823041975250207,0.7360691429308275,0.21778748064846654,-0.26094631492875653,-0.33730494075733425,0.43349631784074105,0.6642362009331826,-0.28342993902499225
75.014999,-0.35632989136739807,0.8084475912744894,-0.007904008169771881,-0.5568139156016658,-0.24649652456800206,0.5293820148996637,0.6806152850580148,-0.5972361177731325
80.014999,-0.30442936298229406,0.8808260396181515,-0.2335954969880103,-0.8526815162745752,-0.15568810837866986,0.6252677119585863,0.6969943691828471,-0.9110422965212726
85.014999,-0.30442936298229406,0.8808260396181515,-0.2335954969880103,-0.8526815162745752,-0.15568810837866986,0.6252677119585863,0.6969943691828471,-0.9110422965212726
90.014999,-0.30442936298229406,0.8808260396181515,-0.2335954969880103,-0.8526815162745752,-0.15568810837866986,0.6252677119585863,0.6969943691828471,-0.9110422965212726
95.014999,-0.30442936298229406,0.8808260396181515,-0.2335954969880103,-0.8526815162745752,-0.15568810837866986,0.6252677119585863,0.6969943691828471,-0.9110422965212726
100.014999,-0.2906190340211484,0.6372353271429214,-0.303819583838879,-0.8484558377934533,-0.08369731106080529,0.3129665200852562,0.6984301066490838,-0.8980895550326675
105.014999,-0.2768087050600027,0.3936446146676913,-0.37404367068974775,-0.8442301593123315,-0.011706513742940716,0.0006653282119261306,0.6998658441153205,-0.8851368135440627
110.014999,-0.26299837609885707,0.15005390219246117,-0.44426775754061654,-0.8400044808312097,0.06028428357492386,-0.31163586366140394,0.7013015815815573,-0.8721840720554578
115.014999,-0.2491880471377114,-0.09353681028276895,-0.5144918443914852,-0.8357788023500878,0.13227508089278844,-0.6239370555347341,0.702737319047794,-0.8592313305668527
120.014999,-0.23537771817656572,-0.33712752275799907,-0.584715931242354,-0.831553123868966,0.204265878210653,-0.9362382474080642,0.7041730565140307,-0.8462785890782477
125.014999,-0.23537771817656572,-0.33712752275799907,-0.584715931242354,-0.831553123868966,0.204265878210653,-0.9362382474080642,0.7041730565140307,-0.8462785890782477
130.014999,-0.23537771817656572,-0.33712752275799907,-0.584715931242354,-0.831553123868966,0.204265878210653,-0.9362382474080642,0.7041730565140307,-0.8462785890782477
135.014999,-0.23537771817656572,-0.33712752275799907,-0.584715931242354,-0.831553123868966,0.204265878210653,-0.9362382474080642,0.7041730565140307,-0.8462785890782477
140.014999,-0.23537771817656572,-0.33712752275799907,-0.584715931242354,-0.831553123868966,0.204265878210653,-0.9362382474080642,0.7041730565140307,-0.8462785890782477
145.014999,-0.20182999002064278,-0.4675515948670541,-0.5367686107136198,-0.8591445696012814,-0.036120140617140084,-0.6755000797497589,0.7406641537052848,-0.5166518104326202
