Time,u1,u2,u3,u4,u5,u6,u7,u8
5.005,-1.1037609671333383e-6,-1.7067984977503244e-5,3.2544032373658237e-6,5.00776259745015e-7,-1.223746076650589e-5,4.589512788919384e-6,3.179172994157926e-6,1.9871350874184887e-5
10.01,-2.2075219342666767e-6,-3.413596995500649e-5,6.508806474731647e-6,1.00155251949003e-6,-2.447492153301178e-5,9.179025577838768e-6,6.358345988315852e-6,3.9742701748369775e-5
15.015,-3.311282901400015e-6,-5.1203954932509726e-5,9.763209712097471e-6,1.502328779235045e-6,-3.6712382299517676e-5,1.376853836675815e-5,9.537518982473779e-6,5.9614052622554665e-5
20.014999,-4.415043868533353e-6,-6.827193991001298e-5,1.3017612949463295e-5,2.00310503898006e-6,-4.894984306602356e-5,1.8358051155677536e-5,1.2716691976631704e-5,7.948540349673955e-5
25.014999,-5.5188048356666914e-6,-8.533992488751621e-5,1.627201618682912e-5,2.503881298725075e-6,-6.118730383252946e-5,2.294756394459692e-5,1.589586497078963e-5,9.935675437092444e-5
30.014999,-5.5188048356666914e-6,-8.533992488751621e-5,1.627201618682912e-5,2.503881298725075e-6,-6.118730383252946e-5,2.294756394459692e-5,1.589586497078963e-5,9.935675437092444e-5
35.014999,-4.920843014589097e-6,-8.328902697485659e-5,9.80169111980028e-6,1.8053669208216495e-5,-3.690637669937493e-5,3.0794791570939984e-5,1.7654364848980682e-5,7.695157212737858e-5
40.014999,-4.3228811935115025e-6,-8.123812906219696e-5,3.3313660527714396e-6,3.360345711770792e-5,-1.2625449566220405e-5,3.8642019197283046e-5,1.9412864727171734e-5,5.454638988383273e-5
45.014999,-3.7249193724339063e-6,-7.918723114953735e-5,-3.1389590142573995e-6,4.915324502719933e-5,1.1655477566934118e-5,4.648924682362611e-5,2.1171364605362782e-5,3.214120764028687e-5
50.014999,-3.126957551356311e-6,-7.713633323687772e-5,-9.609284081286238e-6,6.470303293669076e-5,3.593640470008864e-5,5.433647444996917e-5,2.2929864483553834e-5,9.736025396741025e-6
55.014999,-2.528995730278716e-6,-7.508543532421808e-5,-1.607960914831508e-5,8.025282084618218e-5,6.021733183324316e-5,6.218370207631223e-5,2.468836436174489e-5,-1.2669156846804831e-5
60.014999,-2.528995730278716e-6,-7.508543532421808e-5,-1.607960914831508e-5,8.025282084618218e-5,6.021733183324316e-5,6.218370207631223e-5,2.468836436174489e-5,-1.2669156846804831e-5
65.014999,-2.528995730278716e-6,-7.508543532421808e-5,-1.607960914831508e-5,8.025282084618218e-5,6.021733183324316e-5,6.218370207631223e-5,2.468836436174489e-5,-1.2669156846804831e-5
70.014999,-2.528995730278716e-6,-7.508543532421808e-5,-1.607960914831508e-5,8.025282084618218e-5,6.021733183324316e-5,6.218370207631223e-5,2.468836436174489e-5,-1.2669156846804831e-5
75.014999,-2.426790232200026e-7,-4.608513083842281e-5,3.1141847573518306e-6,7.808825431655226e-5,3.2475188605960436e-5,5.062623235322756e-5,2.1038320380150406e-5,-1.3429779822022952e-6
80.014999,2.0436376838387107e-6,-1.7084826352627538e-5,2.230797866301874e-5,7.592368778692234e-5,4.733045378677703e-6,3.906876263014288e-5,1.738827639855593e-5,9.983200882400238e-6
85.014999,4.329954390897425e-6,1.1915478133167731e-5,4.150177256868565e-5,7.375912125729244e-5,-2.3009097848605025e-5,2.7511292907058208e-5,1.373823241696145e-5,2.1309379747002777e-5
90.014999,6.616271097956138e-6,4.091578261896301e-5,6.069556647435256e-5,7.15945547276625e-5,-5.075124107588776e-5,1.5953823183973543e-5,1.0088188435366966e-5,3.2635558611605305e-5
95.014999,8.90258780501485e-6,6.991608710475827e-5,7.988936038001947e-5,6.942998819803259e-5,-7.849338430317049e-5,4.396353460888869e-6,6.438144453772488e-6,4.396173747620784e-5
100.014999,8.90258780501485e-6,6.991608710475827e-5,7.988936038001947e-5,6.942998819803259e-5,-7.849338430317049e-5,4.396353460888869e-6,6.438144453772488e-6,4.396173747620784e-5
105.014999,8.90258780501485e-6,6.991608710475827e-5,7.988936038001947e-5,6.942998819803259e-5,-7.849338430317049e-5,4.396353460888869e-6,6.438144453772488e-6,4.396173747620784e-5
110.014999,2.5927452097749246e-5,4.656779972120988e-5,8.107973423518064e-5,3.938602928462154e-5,-4.948172790685807e-5,1.5722344522087873e-5,1.6208510529851292e-5,5.326322459053556e-5
115.014999,4.295231639048364e-5,2.3219512337661488e-5,8.227010809034182e-5,9.342070371210484e-6,-2.047007151054565e-5,2.7048335583286876e-5,2.59788766059301e-5,6.256471170486329e-5
120.014999,5.997718068321803e-5,-1.2877504588691093e-7,8.3460481945503e-5,-2.070188854220056e-5,8.541584885766767e-6,3.8374326644485876e-5,3.57492426820089e-5,7.186619881919103e-5
125.014999,7.700204497595243e-5,-2.3477062429435305e-5,8.465085580066418e-5,-5.074584745561161e-5,3.755324128207919e-5,4.970031770568489e-5,4.551960875808771e-5,8.116768593351876e-5
130.014999,9.402690926868683e-5,-4.68253498129837e-5,8.584122965582536e-5,-8.078980636902266e-5,6.65648976783916e-5,6.102630876688389e-5,5.528997483416651e-5,9.046917304784648e-5
135.014999,7.863065430391918e-5,-2.035475166393027e-5,5.500581014429712e-5,-4.9552117946701155e-5,4.864237744840361e-5,6.8782372278765e-5,2.4495787586044906e-5,5.352452207683312e-5
140.014999,6.323439933915152e-5,6.115846485123169e-6,2.417039063276888e-5,-1.831442952437964e-5,3.071985721841561e-5,7.65384357906461e-5,-6.298399662076699e-6,1.657987110581976e-5
